"('4931', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('4931', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('4931', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('1800', 'Double Jeopardy!', '$200', 'SCIENCE')"
"('1800', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('1800', 'Double Jeopardy!', '$1,100', 'SCIENCE')"
"('1800', 'Double Jeopardy!', '$1000', 'SCIENCE')"
"('4306', 'Jeopardy!', '$200', 'SCIENCE')"
"('4306', 'Jeopardy!', '$400', 'SCIENCE')"
"('4306', 'Jeopardy!', '$600', 'SCIENCE')"
"('4306', 'Jeopardy!', '$800', 'SCIENCE')"
"('4306', 'Jeopardy!', '$1000', 'SCIENCE')"
"('2903', 'Jeopardy!', '$100', 'SCIENCE')"
"('2903', 'Jeopardy!', '$200', 'SCIENCE')"
"('2903', 'Jeopardy!', '$300', 'SCIENCE')"
"('2903', 'Jeopardy!', '$400', 'SCIENCE')"
"('2903', 'Jeopardy!', '$500', 'SCIENCE')"
"('4586', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('4586', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('4586', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('4586', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('4586', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('5460', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5460', 'Double Jeopardy!', '$1600', 'SCIENCE')"
"('5280', 'Double Jeopardy!', '$400', 'SCIENCE')"
"('5280', 'Double Jeopardy!', '$800', 'SCIENCE')"
"('5280', 'Double Jeopardy!', '$1200', 'SCIENCE')"
"('5280', 'Double Jeopardy!', '$2000', 'SCIENCE')"
"('2683', 'Jeopardy!', '$100', 'SCIENCE')"
"('2683', 'Jeopardy!', '$200', 'SCIENCE')"
"('2683', 'Jeopardy!', '$300', 'SCIENCE')"
"('2683', 'Jeopardy!', '$400', 'SCIENCE')"
"('2683', 'Jeopardy!', '$500', 'SCIENCE')"
