forum_topic,post_id
pets,2349
pets,6369
health,14942
cooking,90200
sports,4417
buddhism,24896
travel,108760
interpersonal,13932
parenting,10415
fitness,17952
interpersonal,8529
diy,64376
pets,10322
diy,14467
outdoors,14296
cooking,17885
parenting,7272
gardening,4488
productivity,5680
mythology,4743
sports,4111
history,11584
history,12605
interpersonal,9887
gardening,24587
gardening,606
travel,92898
cooking,89052
diy,104172
gardening,17845
diy,100686
interpersonal,11506
travel,116208
productivity,5729
buddhism,11384
health,16126
mythology,2089
outdoors,1814
cooking,90735
diy,93528
health,341
cooking,20032
cooking,90428
pets,17998
buddhism,18351
pets,7868
outdoors,542
sports,14305
gardening,39619
gardening,8310
cooking,6503
parenting,11228
cooking,6243
pets,1771
parenting,21813
health,10089
health,12439
productivity,7927
health,10070
buddhism,2771
fitness,2491
travel,86877
buddhism,28285
diy,119076
cooking,11680
fitness,2852
fitness,35779
sports,14832
history,37463
gardening,38944
cooking,34170
fitness,843
gardening,22877
history,12920
buddhism,26618
history,39450
interpersonal,500
interpersonal,12233
fitness,6357
sports,20147
diy,75714
buddhism,13207
sports,2444
diy,145965
interpersonal,12569
health,12984
health,3579
diy,101887
pets,16948
parenting,16829
pets,1670
mythology,4931
fitness,18992
cooking,57933
gardening,14383
history,27918
diy,134285
interpersonal,301
travel,17993
cooking,23711
cooking,67958
gardening,31042
diy,5847
buddhism,8821
productivity,7341
history,1020
travel,51847
gardening,14789
gardening,23896
parenting,2503
outdoors,3629
history,6015
fitness,27475
fitness,19292
productivity,17321
diy,40800
health,9627
history,25874
productivity,8737
parenting,16935
gardening,3810
mythology,4954
cooking,75458
gardening,36047
cooking,52279
interpersonal,17898
cooking,58710
history,7904
buddhism,25717
travel,93421
interpersonal,9404
gardening,38107
productivity,2570
health,12094
buddhism,26583
history,35667
history,27775
travel,94171
cooking,30761
health,9539
outdoors,6625
sports,7336
history,10388
travel,8765
history,17287
pets,16726
productivity,1971
pets,3275
travel,17964
productivity,17819
buddhism,8127
diy,125012
outdoors,6212
productivity,677
travel,95680
productivity,17345
fitness,29071
fitness,34128
gardening,37167
mythology,1144
health,3272
diy,63697
interpersonal,9422
gardening,38653
mythology,2169
health,2
interpersonal,16345
productivity,15570
fitness,11863
parenting,33346
cooking,11398
diy,115656
mythology,588
travel,94859
interpersonal,2977
productivity,777
health,5671
pets,6984
health,5660
cooking,8253
gardening,5321
diy,89226
pets,3201
diy,31993
fitness,2934
outdoors,3228
diy,114499
interpersonal,2204
gardening,9232
interpersonal,13822
gardening,39455
sports,17792
gardening,32754
cooking,36730
history,35839
outdoors,6154
history,42320
gardening,22029
interpersonal,3489
gardening,37639
pets,7822
cooking,15709
history,17019
cooking,58840
diy,74794
pets,12424
parenting,10841
sports,17642
productivity,9518
interpersonal,8767
fitness,13818
sports,10500
history,44060
sports,16447
buddhism,25921
productivity,17930
buddhism,8799
outdoors,8824
diy,98620
history,23655
productivity,12119
buddhism,14555
sports,1785
travel,91488
buddhism,16136
travel,119793
travel,27110
fitness,279
interpersonal,4804
productivity,5169
fitness,7805
diy,128354
productivity,2002
productivity,5219
travel,1925
travel,13514
parenting,4791
pets,7190
fitness,7998
travel,110615
sports,12692
outdoors,19602
cooking,24296
interpersonal,626
outdoors,11838
diy,86438
travel,21953
fitness,4578
sports,18678
mythology,2828
fitness,22285
history,15228
productivity,1888
diy,115295
cooking,28184
buddhism,19095
fitness,12578
productivity,14550
productivity,464
history,7497
interpersonal,12572
productivity,2782
pets,2157
sports,8693
pets,13772
pets,1277
parenting,26550
history,30774
productivity,9112
productivity,7379
buddhism,10763
buddhism,19618
interpersonal,3333
history,21197
travel,107246
pets,20886
productivity,97
gardening,4382
fitness,28524
fitness,27847
mythology,4874
history,12901
gardening,39312
history,11667
outdoors,4823
diy,98606
productivity,8674
outdoors,603
diy,114673
gardening,9775
sports,15518
pets,20462
outdoors,1936
gardening,14639
pets,1386
diy,59520
gardening,31115
diy,137558
history,28687
productivity,12213
health,5757
cooking,66959
mythology,361
productivity,14804
interpersonal,11113
cooking,62263
buddhism,9906
travel,3457
sports,4964
sports,4089
parenting,29820
mythology,769
travel,35392
interpersonal,540
mythology,1523
buddhism,12635
history,27172
health,16808
sports,4632
productivity,17452
buddhism,3197
diy,97677
pets,13863
fitness,28536
pets,958
pets,17685
pets,17273
parenting,23279
gardening,2544
parenting,22583
outdoors,9970
travel,43889
parenting,32248
fitness,16355
pets,18504
outdoors,10212
gardening,8518
diy,28647
history,45296
fitness,7244
diy,29180
mythology,4856
buddhism,3721
diy,103092
cooking,83351
history,47545
outdoors,19908
buddhism,18965
cooking,22006
parenting,24927
sports,7069
gardening,28988
travel,98569
history,29151
gardening,41384
buddhism,24009
interpersonal,12902
fitness,31175
outdoors,11495
buddhism,2714
history,23992
health,832
parenting,19713
sports,2605
fitness,34714
pets,10226
health,14685
productivity,4703
travel,77796
diy,125979
interpersonal,12276
health,641
fitness,14424
parenting,2655
outdoors,7741
productivity,1336
travel,114097
buddhism,1800
productivity,7818
interpersonal,11869
outdoors,15949
interpersonal,1841
fitness,15622
travel,3324
interpersonal,11704
interpersonal,10049
health,9724
outdoors,10084
travel,120383
health,14507
travel,118287
buddhism,5191
health,11447
diy,42501
travel,38820
interpersonal,17642
diy,67050
gardening,23466
interpersonal,355
cooking,1717
fitness,25379
interpersonal,17670
fitness,10253
history,30439
buddhism,16000
gardening,29357
buddhism,1752
travel,19170
parenting,31967
buddhism,14536
interpersonal,17821
pets,16537
cooking,58757
health,4058
fitness,32746
mythology,287
health,5661
fitness,32527
interpersonal,16156
productivity,4242
cooking,18725
mythology,1853
diy,32180
travel,57821
health,3641
interpersonal,12264
diy,33609
cooking,44710
productivity,14605
fitness,27219
cooking,9220
parenting,8264
outdoors,13330
diy,114891
health,1044
travel,105336
gardening,5970
parenting,27168
pets,21127
productivity,1930
travel,82508
outdoors,7918
diy,69601
pets,1816
fitness,9448
cooking,34997
sports,1751
pets,5920
parenting,3269
outdoors,6031
pets,16800
parenting,32615
cooking,63885
pets,15457
diy,82470
parenting,18932
interpersonal,12959
pets,19087
parenting,23716
interpersonal,16449
gardening,28955
productivity,8154
gardening,33348
health,10146
outdoors,14636
interpersonal,13468
cooking,73135
productivity,8543
outdoors,14380
pets,2489
productivity,5112
productivity,132
buddhism,7834
pets,18003
sports,15173
travel,41770
parenting,23734
cooking,68807
diy,102953
diy,41035
outdoors,10155
parenting,31691
diy,140922
outdoors,5622
mythology,1590
fitness,9414
diy,93071
parenting,23084
buddhism,26309
productivity,13681
mythology,2076
outdoors,9364
interpersonal,15695
parenting,15062
gardening,1323
cooking,59149
cooking,37492
pets,20353
productivity,8929
mythology,1762
history,17309
history,46724
fitness,5499
buddhism,9215
history,321
travel,118498
productivity,7675
gardening,22443
cooking,69091
cooking,49563
history,1675
interpersonal,775
outdoors,7322
outdoors,4635
sports,17666
outdoors,13161
travel,116886
diy,40099
history,37980
fitness,22143
travel,76146
health,12947
productivity,17812
health,775
outdoors,1274
buddhism,17468
gardening,19857
fitness,38371
productivity,12605
pets,13697
pets,10582
pets,19229
productivity,9758
cooking,37809
outdoors,7681
fitness,6422
sports,1740
interpersonal,5835
diy,15201
history,1111
mythology,3200
outdoors,15660
interpersonal,17714
buddhism,21837
interpersonal,1752
sports,3674
mythology,4809
interpersonal,9103
outdoors,882
travel,19205
pets,5849
diy,15007
health,13826
diy,138407
interpersonal,8199
cooking,41677
buddhism,21952
pets,11536
pets,692
gardening,19544
health,14180
health,40
gardening,22531
fitness,29820
cooking,25411
cooking,58408
pets,12160
travel,4058
sports,2926
sports,16906
outdoors,5535
outdoors,11459
health,3816
history,4363
productivity,1852
interpersonal,15987
pets,19185
sports,11998
cooking,10177
gardening,29808
productivity,2072
parenting,21909
buddhism,7113
travel,10453
health,14547
fitness,9454
interpersonal,7823
interpersonal,16076
productivity,7856
interpersonal,16586
fitness,11376
parenting,10476
fitness,33157
buddhism,19670
health,3152
buddhism,7920
travel,16215
pets,15125
sports,3247
productivity,9304
history,34778
history,25737
health,11078
diy,72702
productivity,7542
productivity,18305
diy,18683
buddhism,1988
parenting,6035
productivity,15099
history,39506
interpersonal,90
history,5536
history,15412
outdoors,13835
interpersonal,4
travel,50064
productivity,16927
buddhism,22195
interpersonal,161
cooking,33212
fitness,9737
cooking,50205
outdoors,19254
pets,10530
travel,47659
fitness,33123
diy,30862
sports,5145
travel,117792
diy,14629
sports,13208
sports,5718
buddhism,24058
mythology,2030
productivity,522
cooking,69179
fitness,37873
fitness,7695
sports,12729
travel,50363
buddhism,10844
sports,7213
interpersonal,13356
history,46436
sports,5664
mythology,3512
sports,13836
history,21161
health,3380
fitness,24412
history,43645
travel,110712
mythology,4558
productivity,7924
cooking,75579
interpersonal,12491
gardening,13746
parenting,34520
diy,100957
pets,17746
travel,14124
mythology,2341
mythology,172
buddhism,5681
travel,36151
productivity,18579
health,15452
cooking,42552
fitness,12041
gardening,4863
outdoors,8014
gardening,33451
productivity,241
history,14178
outdoors,10210
cooking,1236
parenting,1075
interpersonal,12730
sports,17752
sports,5178
health,5722
fitness,19409
productivity,389
fitness,21096
parenting,30708
buddhism,82
outdoors,438
fitness,38285
buddhism,28412
history,40659
mythology,1395
fitness,29868
pets,13604
outdoors,4206
outdoors,9171
buddhism,19970
productivity,10903
travel,62695
history,16576
fitness,36478
outdoors,13111
interpersonal,6946
buddhism,21719
productivity,14501
pets,21145
buddhism,22471
parenting,20028
travel,115345
history,5861
parenting,16185
productivity,13814
health,10172
travel,20868
history,47441
fitness,25300
health,4208
mythology,948
gardening,34123
fitness,25674
interpersonal,11131
sports,10617
travel,95868
buddhism,10217
diy,43967
outdoors,1448
interpersonal,9581
parenting,32407
parenting,14482
gardening,4762
pets,17874
travel,117922
buddhism,28368
parenting,28354
fitness,15538
gardening,14617
sports,14803
outdoors,19791
interpersonal,16287
productivity,124
pets,796
interpersonal,4365
gardening,7541
diy,140293
travel,73911
gardening,29085
diy,105744
fitness,29164
sports,4055
travel,71441
interpersonal,8694
pets,2013
gardening,7655
history,39212
productivity,8497
sports,17567
history,44192
gardening,35814
interpersonal,1633
buddhism,21937
interpersonal,4189
sports,14108
history,10264
interpersonal,16947
parenting,27152
buddhism,26516
parenting,199
outdoors,3348
health,892
fitness,25221
diy,140607
parenting,6011
cooking,46578
health,15162
interpersonal,17905
interpersonal,14764
mythology,2008
history,22707
productivity,14189
parenting,28876
sports,12771
sports,4564
productivity,14311
fitness,22329
parenting,4124
outdoors,1023
travel,91644
parenting,5941
travel,2916
health,13954
interpersonal,15111
mythology,4667
history,46681
gardening,3400
fitness,37988
sports,5552
buddhism,14542
history,34173
parenting,23841
cooking,89350
fitness,33777
fitness,6984
parenting,8688
interpersonal,17458
fitness,36874
buddhism,25122
productivity,5602
diy,110673
cooking,75079
interpersonal,13017
mythology,2243
diy,144836
diy,10725
diy,20441
pets,893
diy,128930
outdoors,18372
productivity,5189
parenting,20926
mythology,1930
diy,65593
diy,116202
health,4450
parenting,452
outdoors,8445
health,11098
productivity,9270
interpersonal,14277
sports,18367
pets,13631
sports,3462
interpersonal,6202
cooking,11496
productivity,8570
interpersonal,10584
productivity,4014
productivity,7080
cooking,53442
cooking,15531
interpersonal,8501
mythology,2253
outdoors,3823
buddhism,2120
mythology,1132
interpersonal,10411
cooking,90161
interpersonal,11243
mythology,5082
diy,130443
history,40017
outdoors,8132
diy,86318
mythology,1416
fitness,29963
pets,10
travel,66663
sports,13700
buddhism,21147
health,10349
sports,17467
sports,1344
gardening,17369
history,32324
mythology,2931
gardening,41539
parenting,14232
health,17276
pets,16959
pets,21044
interpersonal,7342
diy,141323
health,12390
diy,111475
history,40720
buddhism,9137
history,37851
buddhism,15731
outdoors,11378
gardening,31055
interpersonal,7673
travel,83160
cooking,64805
history,2625
interpersonal,7154
history,33989
sports,12849
travel,38705
gardening,22167
mythology,3212
parenting,28800
gardening,32838
parenting,32328
health,9584
history,33199
parenting,23569
diy,112866
outdoors,20287
productivity,11997
health,14786
diy,105853
history,31104
fitness,12120
travel,61938
diy,99812
pets,13722
sports,20115
parenting,18100
diy,137051
gardening,41058
history,43125
sports,12144
sports,12047
interpersonal,2568
buddhism,11075
pets,19478
mythology,1969
diy,144191
sports,10627
pets,17578
cooking,86070
parenting,5933
mythology,3357
history,39879
interpersonal,631
gardening,29795
sports,1898
pets,16550
buddhism,12914
parenting,22407
fitness,33807
buddhism,4033
cooking,88924
fitness,9913
gardening,28982
gardening,19308
health,5292
diy,139317
outdoors,19874
sports,5080
productivity,12644
cooking,20323
fitness,25025
health,9968
outdoors,13003
parenting,19082
health,10266
history,12848
buddhism,21334
mythology,3306
sports,15024
sports,7473
interpersonal,4131
fitness,1394
productivity,1820
history,30631
interpersonal,8970
interpersonal,1850
parenting,4309
mythology,3252
mythology,1448
pets,10753
buddhism,13011
sports,19969
buddhism,5847
interpersonal,381
buddhism,10473
gardening,13796
gardening,24033
parenting,12508
travel,46448
diy,12188
mythology,2311
health,16267
travel,1453
fitness,23761
parenting,8316
pets,11912
buddhism,24450
pets,2666
cooking,57561
travel,103133
sports,3201
sports,1221
outdoors,19179
diy,105436
buddhism,20362
health,11091
history,9436
mythology,2488
mythology,3382
mythology,1019
outdoors,18589
mythology,1406
parenting,31252
interpersonal,16617
